year,prov,gdp,id,island,primary,secondary,tertiary,agri_gdp,constr_gdp,manuf_gdp,utilities_gdp,sec_gdp,tert_gdp,tsunami_aceh,aceh_northsumatra,tsunami_sumatra,log_cap_gr,tsunami_sumatra_alt,tsunami_sumatra_alternative,region,district_type,longitude,latitude,noncoastal,log_gr,tsunami_yrs,region2,tsunami_aceh1,tsunami_aceh2,tsunami_aceh3,tsunami_sumatra1,tsunami_sumatra2,tsunami_sumatra3,aceh_treat1,aceh_treat2,aceh_treat3,sumatra_treat1,sumatra_treat2,sumatra_treat3,non_tsunami_yrs,aceh_lead1,aceh_lead2,aceh_lead3,sumatra_lead1,sumatra_lead2,sumatra_lead3,sumatra_treat1_05,sumatra_treat1_06,sumatra_treat1_07,sumatra_treat1_08,sumatra_treat1_09,sumatra_treat1_10,sumatra_treat1_11,sumatra_treat1_12,aceh_treat1_05,aceh_treat1_06,aceh_treat1_07,aceh_treat1_08,aceh_treat1_09,aceh_treat1_10,aceh_treat1_11,aceh_treat1_12,sumatra_treat2_05,sumatra_treat2_06,sumatra_treat2_07,sumatra_treat2_08,sumatra_treat2_09,sumatra_treat2_10,sumatra_treat2_11,sumatra_treat2_12,aceh_treat2_05,aceh_treat2_06,aceh_treat2_07,aceh_treat2_08,aceh_treat2_09,aceh_treat2_10,aceh_treat2_11,aceh_treat2_12,sumatra_treat3_05,sumatra_treat3_06,sumatra_treat3_07,sumatra_treat3_08,sumatra_treat3_09,sumatra_treat3_10,sumatra_treat3_11,sumatra_treat3_12,aceh_treat3_05,aceh_treat3_06,aceh_treat3_07,aceh_treat3_08,aceh_treat3_09,aceh_treat3_10,aceh_treat3_11,aceh_treat3_12,sumatra_lead1_00,sumatra_lead1_01,sumatra_lead1_02,sumatra_lead1_03,sumatra_lead1_04,aceh_lead1_00,aceh_lead1_01,aceh_lead1_02,aceh_lead1_03,aceh_lead1_04,sumatra_lead2_00,sumatra_lead2_01,sumatra_lead2_02,sumatra_lead2_03,sumatra_lead2_04,aceh_lead2_00,aceh_lead2_01,aceh_lead2_02,aceh_lead2_03,aceh_lead2_04,sumatra_lead3_00,sumatra_lead3_01,sumatra_lead3_02,sumatra_lead3_03,sumatra_lead3_04,aceh_lead3_00,aceh_lead3_01,aceh_lead3_02,aceh_lead3_03,aceh_lead3_04,region_year
2005,Nanggroe Aceh Darussalam,113.28133458,11,Sumatra,296.15195,16.822678,22.415001,63.43866,2.9769537,11.431673,.44172564,14.850352,19.78702,not Tsunami stricken,1,not Tsunami stricken in Aceh & N.Sumatra,.040922381,1,.11111111,Aceh Timur,Kab,97.611633,4.64958,0,.047541074,1,11,not Tsunami stricken,,Others,not Tsunami stricken,,Others,0,,0,0,,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22055
2011,Nanggroe Aceh Darussalam,139.58286,11,Sumatra,142.70869,21.785761,39.177139,54.263523,3.6035082,11.237024,.76722884,15.607762,28.067299,not Tsunami stricken,1,not Tsunami stricken in Aceh & N.Sumatra,.011392323,0,.11111111,Aceh Timur,Kab,97.611633,4.64958,0,.037505142,1,11,not Tsunami stricken,,Others,not Tsunami stricken,,Others,0,,0,0,,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22121
2007,Nanggroe Aceh Darussalam,122.50958875,11,Sumatra,322.23016,19.292801,27.69132,59.775814,3.333252,11.975677,.43906394,15.747993,22.60339,not Tsunami stricken,1,not Tsunami stricken in Aceh & N.Sumatra,.041153349,0,.11111111,Aceh Timur,Kab,97.611633,4.64958,0,.047299907,1,11,not Tsunami stricken,,Others,not Tsunami stricken,,Others,0,,0,0,,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22077
2006,Nanggroe Aceh Darussalam,116.84980525,11,Sumatra,305.55542,17.346834,23.881397,62.778919,3.0144563,11.384987,.44596773,14.845411,20.437687,not Tsunami stricken,1,not Tsunami stricken in Aceh & N.Sumatra,.024180703,0,.11111111,Aceh Timur,Kab,97.611633,4.64958,0,.031014983,1,11,not Tsunami stricken,,Others,not Tsunami stricken,,Others,0,,0,0,,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22066
2002,Nanggroe Aceh Darussalam,102.0714065,11,Sumatra,144.71457,14.824064,17.790974,66.152817,2.7090662,11.377398,.43676552,14.52323,17.42993,not Tsunami stricken,1,not Tsunami stricken in Aceh & N.Sumatra,.21693935,0,,Aceh Timur,Kab,97.611633,4.64958,0,.01857255,0,11,not Tsunami stricken,,Others,not Tsunami stricken,,Others,0,,0,0,,0,1,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22022
2010,Nanggroe Aceh Darussalam,134.44474,11,Sumatra,142.62669,20.7542,36.007019,55.740833,3.4441957,11.263319,.72945952,15.436975,26.782021,not Tsunami stricken,1,not Tsunami stricken in Aceh & N.Sumatra,-.017073277,0,.11111111,Aceh Timur,Kab,97.611633,4.64958,0,.039264873,1,11,not Tsunami stricken,,Others,not Tsunami stricken,,Others,0,,0,0,,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22110
2004,Nanggroe Aceh Darussalam,108.02182998,11,Sumatra,118.54539,15.456394,20.201345,65.029457,2.6929553,11.161956,.45367277,14.308584,18.70117,not Tsunami stricken,1,not Tsunami stricken in Aceh & N.Sumatra,.023215635,0,.11111111,Aceh Timur,Kab,97.611633,4.64958,0,.030527458,1,11,not Tsunami stricken,,Others,not Tsunami stricken,,Others,0,,0,0,,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22044
2001,Nanggroe Aceh Darussalam,100.193176,11,Sumatra,92.240822,14.564107,16.909214,66.731415,2.7069478,11.402871,.42620808,14.536027,16.876612,not Tsunami stricken,1,not Tsunami stricken in Aceh & N.Sumatra,.01415531,0,,Aceh Timur,Kab,97.611633,4.64958,0,.014625078,0,11,not Tsunami stricken,,Others,not Tsunami stricken,,Others,0,,0,0,,0,1,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22011
2012,Nanggroe Aceh Darussalam,144.20602,11,Sumatra,143.60168,22.928841,41.690441,53.095909,3.8268859,11.272539,.8006323,15.900058,28.910334,not Tsunami stricken,1,not Tsunami stricken in Aceh & N.Sumatra,.0036461318,0,.11111111,Aceh Timur,Kab,97.611633,4.64958,0,.032584567,1,11,not Tsunami stricken,,Others,not Tsunami stricken,,Others,0,,0,0,,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22132
2003,Nanggroe Aceh Darussalam,104.774024,11,Sumatra,200.68265,15.062097,18.907339,65.653412,2.7135854,11.214931,.44727689,14.375793,18.045828,not Tsunami stricken,1,not Tsunami stricken in Aceh & N.Sumatra,.65959066,0,,Aceh Timur,Kab,97.611633,4.64958,0,.026133247,0,11,not Tsunami stricken,,Others,not Tsunami stricken,,Others,0,,0,0,,0,1,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22033
2008,Nanggroe Aceh Darussalam,125.39119298,11,Sumatra,151.13541,19.053324,29.819904,59.01741,3.2110846,11.379264,.60475653,15.195106,23.781498,not Tsunami stricken,1,not Tsunami stricken in Aceh & N.Sumatra,-.037371587,0,.11111111,Aceh Timur,Kab,97.611633,4.64958,0,.023249092,1,11,not Tsunami stricken,,Others,not Tsunami stricken,,Others,0,,0,0,,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22088
2000,Nanggroe Aceh Darussalam,98.73850625,11,Sumatra,106.89527,14.584107,16.165321,67.034599,2.7681429,11.588378,.41391444,14.770435,16.371851,not Tsunami stricken,1,not Tsunami stricken in Aceh & N.Sumatra,-.00013668019,0,,Aceh Timur,Kab,97.611633,4.64958,0,-.042187423,0,11,not Tsunami stricken,,Others,not Tsunami stricken,,Others,0,,0,0,,0,1,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22000
1999,Nanggroe Aceh Darussalam,102.993144337928,11,Sumatra,,,,,,,,,,not Tsunami stricken,1,not Tsunami stricken in Aceh & N.Sumatra,,0,,Aceh Timur,Kab,97.611633,4.64958,0,,0,11,not Tsunami stricken,,Others,not Tsunami stricken,,Others,0,,0,0,,0,1,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21989
2008,Nanggroe Aceh Darussalam,216.2685343,12,Sumatra,289.5,30.010231,91.375938,42.68745,5.4940534,8.1217756,.26054543,13.876374,42.251148,not Tsunami stricken,1,not Tsunami stricken in Aceh & N.Sumatra,.019074947,0,.11111111,Aceh Utara,Kab,97.16716,5.0157599,0,.033171132,1,12,not Tsunami stricken,,Others,not Tsunami stricken,,Others,0,,0,0,,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24096
2012,Nanggroe Aceh Darussalam,251.2193,12,Sumatra,202.13329,34.578579,117.8258,38.121197,5.6478386,7.8471756,.26928663,13.7643,46.901569,not Tsunami stricken,1,not Tsunami stricken in Aceh & N.Sumatra,.031245749,0,.11111111,Aceh Utara,Kab,97.16716,5.0157599,0,.041493397,1,12,not Tsunami stricken,,Others,not Tsunami stricken,,Others,0,,0,0,,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24144
2004,Nanggroe Aceh Darussalam,186.58173728,12,Sumatra,1075.2091,41.438324,55.568237,46.825161,4.9699388,17.051165,.18810382,22.209208,29.782249,not Tsunami stricken,1,not Tsunami stricken in Aceh & N.Sumatra,.023430333,0,.11111111,Aceh Utara,Kab,97.16716,5.0157599,0,.033481553,1,12,not Tsunami stricken,,Others,not Tsunami stricken,,Others,0,,0,0,,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24048
2010,Nanggroe Aceh Darussalam,231.81892,12,Sumatra,211.6297,32.089062,103.45694,40.325283,5.5853076,7.9909873,.26600072,13.842297,44.628342,not Tsunami stricken,1,not Tsunami stricken in Aceh & N.Sumatra,.041570216,0,.11111111,Aceh Utara,Kab,97.16716,5.0157599,0,.036324937,1,12,not Tsunami stricken,,Others,not Tsunami stricken,,Others,0,,0,0,,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24120
2007,Nanggroe Aceh Darussalam,209.21234,12,Sumatra,442.28281,28.454155,84.425674,44.867558,5.219861,8.199379,.18137041,13.60061,40.354061,not Tsunami stricken,1,not Tsunami stricken in Aceh & N.Sumatra,.030325036,0,.11111111,Aceh Utara,Kab,97.16716,5.0157599,0,.039163295,1,12,not Tsunami stricken,,Others,not Tsunami stricken,,Others,0,,0,0,,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24084
2002,Nanggroe Aceh Darussalam,177.5347355,12,Sumatra,1129.5073,45.292828,54.97884,42.382698,4.4426694,20.920301,.14912212,25.512093,30.967934,not Tsunami stricken,1,not Tsunami stricken in Aceh & N.Sumatra,.24586645,0,,Aceh Utara,Kab,97.16716,5.0157599,0,.028079906,0,12,not Tsunami stricken,,Others,not Tsunami stricken,,Others,0,,0,0,,0,1,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24024
1999,Nanggroe Aceh Darussalam,180.9778903548501,12,Sumatra,,,,,,,,,,not Tsunami stricken,1,not Tsunami stricken in Aceh & N.Sumatra,,0,,Aceh Utara,Kab,97.16716,5.0157599,0,,0,12,not Tsunami stricken,,Others,not Tsunami stricken,,Others,0,,0,0,,0,1,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23988
2009,Nanggroe Aceh Darussalam,223.54922,12,Sumatra,238.85207,31.00502,97.146217,41.479195,5.5476284,8.058073,.2637361,13.869438,43.456299,not Tsunami stricken,1,not Tsunami stricken in Aceh & N.Sumatra,.004933448,0,.11111111,Aceh Utara,Kab,97.16716,5.0157599,0,.033110764,1,12,not Tsunami stricken,,Others,not Tsunami stricken,,Others,0,,0,0,,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24108
2001,Nanggroe Aceh Darussalam,172.6189175,12,Sumatra,719.95117,40.942406,59.199398,40.883644,3.088259,20.440882,.18923725,23.718376,34.294849,not Tsunami stricken,1,not Tsunami stricken in Aceh & N.Sumatra,.44541991,0,,Aceh Utara,Kab,97.16716,5.0157599,0,-.0051010735,0,12,not Tsunami stricken,,Others,not Tsunami stricken,,Others,0,,0,0,,0,1,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24012
2006,Nanggroe Aceh Darussalam,201.1772625,12,Sumatra,522.24255,27.400063,80.012306,45.433323,5.1664906,8.2693205,.18404926,13.619861,39.772041,not Tsunami stricken,1,not Tsunami stricken in Aceh & N.Sumatra,.12160131,0,.11111111,Aceh Utara,Kab,97.16716,5.0157599,0,.1311287,1,12,not Tsunami stricken,,Others,not Tsunami stricken,,Others,0,,0,0,,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24072
2011,Nanggroe Aceh Darussalam,241.00866,12,Sumatra,205.65764,33.282982,110.33428,39.199696,5.6224122,7.9196906,.26776633,13.80987,45.780216,not Tsunami stricken,1,not Tsunami stricken in Aceh & N.Sumatra,.012758872,0,.11111111,Aceh Utara,Kab,97.16716,5.0157599,0,.038876317,1,12,not Tsunami stricken,,Others,not Tsunami stricken,,Others,0,,0,0,,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24132
2005,Nanggroe Aceh Darussalam,176.45355976,12,Sumatra,554.31207,26.628609,57.71191,50.906094,5.6237264,9.2643585,.20291628,15.091002,32.706573,not Tsunami stricken,1,not Tsunami stricken in Aceh & N.Sumatra,-.061135314,1,.11111111,Aceh Utara,Kab,97.16716,5.0157599,0,-.055811688,1,12,not Tsunami stricken,,Others,not Tsunami stricken,,Others,0,,0,0,,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24060
2003,Nanggroe Aceh Darussalam,180.4381136,12,Sumatra,1244.9954,43.261433,55.020378,44.332943,4.8487792,18.927713,.19928244,23.975773,30.492659,not Tsunami stricken,1,not Tsunami stricken in Aceh & N.Sumatra,-.021042692,0,,Aceh Utara,Kab,97.16716,5.0157599,0,.016221575,0,12,not Tsunami stricken,,Others,not Tsunami stricken,,Others,0,,0,0,,0,1,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24036
2000,Nanggroe Aceh Darussalam,173.501709,12,Sumatra,1022.1282,44.665329,56.669518,40.48835,2.933975,22.614994,.19448318,25.743452,32.662224,not Tsunami stricken,1,not Tsunami stricken in Aceh & N.Sumatra,.070612475,0,,Aceh Utara,Kab,97.16716,5.0157599,0,-.042187423,0,12,not Tsunami stricken,,Others,not Tsunami stricken,,Others,0,,0,0,,0,1,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24000
2002,Sumatera Barat,160.948411,14,Sumatra,58.25378,33.362316,69.332314,32.199757,4.6981921,15.114619,.91576684,20.728577,43.077351,Rest of Sumatra (w/o North Sumatra),,Rest of Sumatra,.029698299,0,,Agam,Kab,100.16348,-.25242001,0,.046401452,0,13,,Rest of Sumatra,Others,,Rest of Sumatra,Others,,0,0,,0,0,1,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26026
2010,Sumatera Barat,253.88594,14,Sumatra,103.2995,48.067581,102.5205,36.880081,4.9638748,13.096503,.8723681,18.932747,40.380535,Rest of Sumatra (w/o North Sumatra),,Rest of Sumatra,.001696448,0,0,Agam,Kab,100.16348,-.25242001,0,.055207811,1,13,,Rest of Sumatra,Others,,Rest of Sumatra,Others,,0,0,,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26130
1999,Sumatera Barat,145.3423598977734,14,Sumatra,,,,,,,,,,Rest of Sumatra (w/o North Sumatra),,Rest of Sumatra,,0,,Agam,Kab,100.16348,-.25242001,0,,0,13,,Rest of Sumatra,Others,,Rest of Sumatra,Others,,0,0,,0,0,1,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25987
2004,Sumatera Barat,179.64688412,14,Sumatra,68.364906,35.500168,75.781815,34.191093,4.49545,14.360075,.90555632,19.761082,42.183762,Rest of Sumatra (w/o North Sumatra),,Rest of Sumatra,.05435878,0,0,Agam,Kab,100.16348,-.25242001,0,.058346145,1,13,,Rest of Sumatra,Others,,Rest of Sumatra,Others,,0,0,,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26052
2012,Sumatera Barat,287.31816,14,Sumatra,115.93816,53.273762,118.10624,36.555191,5.0232882,12.649405,.86903661,18.541731,41.10643,Rest of Sumatra (w/o North Sumatra),,Rest of Sumatra,.060312435,0,0,Agam,Kab,100.16348,-.25242001,0,.066015311,1,13,,Rest of Sumatra,Others,,Rest of Sumatra,Others,,0,0,,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26156
2003,Sumatera Barat,169.4651032,14,Sumatra,62.797401,34.274616,72.393089,33.175037,4.56426,14.756548,.90436947,20.225176,42.718582,Rest of Sumatra (w/o North Sumatra),,Rest of Sumatra,.065214783,0,,Agam,Kab,100.16348,-.25242001,0,.05156314,0,13,,Rest of Sumatra,Others,,Rest of Sumatra,Others,,0,0,,0,0,1,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26039
2006,Sumatera Barat,202.4384635,14,Sumatra,80.204163,38.829765,83.404541,35.828197,4.4113731,13.84804,.9216094,19.181021,41.199947,Rest of Sumatra (w/o North Sumatra),,Rest of Sumatra,.055964012,0,0,Agam,Kab,100.16348,-.25242001,0,.059927128,1,13,,Rest of Sumatra,Others,,Rest of Sumatra,Others,,0,0,,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26078
2008,Sumatera Barat,229.01675614,14,Sumatra,94.030563,42.506592,92.479599,37.245522,4.3480272,13.320528,.89191818,18.560472,40.381149,Rest of Sumatra (w/o North Sumatra),,Rest of Sumatra,.058146626,0,0,Agam,Kab,100.16348,-.25242001,0,.061588824,1,13,,Rest of Sumatra,Others,,Rest of Sumatra,Others,,0,0,,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26104
